file,a,ab,abc,ac,b,bc,c
a,0.0005414711354233193,,,,,,
ab,0.9864771054896843,0.0004464148271297066,,,,,
abc,0.9865465248660206,0.9691511960838645,0.0004245058751613122,,,,
ac,0.9859217504789937,0.9845294171977463,0.9684587477325327,0.0005160442859823606,,,
b,1.0021658845416932,0.9882169636770863,0.988314344142565,1.00222583921094,0.0026570955580596245,,
bc,1.0006664260128286,0.984898863951233,0.9693278928323966,0.9849872969435677,0.9858798325055994,0.0004465316806528601,
c,1.0000694126303222,1.0001943553649022,0.9862840642483306,0.9860341787791707,0.9980286812988491,0.9861452389876862,0.0005414185165132648
