file,Arrow.hs,Bits.hs,Concurrent.hs,Data.hs,Exception.hs,Foldable.hs,IO.hs,Natural.hs,OldList.hs,Show.hs,core_print.clj,core_proxy.clj,debug.rb,erb.rb,genclass.clj,gvec.clj,instant.clj,irb.rb,logger.rb,main.clj,open-uri.rb,open3.rb,repl.clj,rubygems.rb,scanf.rb,set.rb,string.clj,test.clj,time.rb,zip.clj
Arrow.hs,0.013188073394495414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bits.hs,0.9229952203929899,0.01009028146574615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concurrent.hs,0.9420772303595206,0.9154460719041279,0.007190412782956059,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data.hs,0.9488160479784924,0.9375452383414331,0.9385792575741909,0.0068245269362010134,,,,,,,,,,,,,,,,,,,,,,,,,,
Exception.hs,0.9075005027146592,0.8964418481147106,0.8808255659121171,0.9334091614104022,0.009853207319525437,,,,,,,,,,,,,,,,,,,,,,,,,
Foldable.hs,0.8885840894703524,0.8980350504514073,0.9306258322237018,0.93444318064316,0.894631007440177,0.011394809031441232,,,,,,,,,,,,,,,,,,,,,,,,
IO.hs,0.9355509355509356,0.9106029106029107,0.8788282290279628,0.9326853479474718,0.8654588654588654,0.9152064152064152,0.008167508167508167,,,,,,,,,,,,,,,,,,,,,,,
Natural.hs,0.9334893700019504,0.8874137015400956,0.9428761651131824,0.9439561575845311,0.9280280866003511,0.9132046030817242,0.9302049302049302,0.011702750146284377,,,,,,,,,,,,,,,,,,,,,,
OldList.hs,0.9561514461590354,0.935997976220592,0.9349860865165697,0.9327936588245215,0.9447676869887849,0.9302639345644658,0.9392866177586643,0.9548022598870056,0.005649717514124294,,,,,,,,,,,,,,,,,,,,,
Show.hs,0.926460239268121,0.8918015482054891,0.925965379494008,0.9339261710267811,0.9122097114707952,0.9067558057705841,0.9037719037719038,0.9009500351864884,0.9386963487646514,0.00967628430682618,,,,,,,,,,,,,,,,,,,,
core_print.clj,0.9443367488230408,0.958399716764029,0.9684420772303595,0.9734257057181264,0.9561632817212949,0.9531546739818527,0.9676269676269676,0.9602106495026331,0.9775697782275066,0.9554890921885996,0.013846579894765993,,,,,,,,,,,,,,,,,,,
core_proxy.clj,0.9464500601684718,0.9451230306248893,0.9524633821571238,0.9664977768586496,0.9408343361411954,0.9404332129963899,0.9526284526284526,0.9498732202067486,0.9704022261573488,0.9440534834623504,0.8754512635379061,0.010830324909747292,,,,,,,,,,,,,,,,,,
debug.rb,0.9665477252453167,0.9570324115373179,0.9540612516644474,0.9658773653189949,0.9567350579839429,0.9616413916146298,0.9511434511434511,0.9638715432649421,0.9698962813053377,0.9542075527802557,0.9643175735950045,0.9606006541778174,0.008920606601248885,,,,,,,,,,,,,,,,,
erb.rb,0.9632372044686932,0.9534944141335412,0.9501169134840218,0.9609140730017578,0.9545336451026241,0.9583008573655495,0.9506365289685632,0.965315666406859,0.962138460241167,0.9510262405819694,0.962847492855287,0.9589503767212263,0.9336191218498311,0.0074045206547155105,,,,,,,,,,,,,,,,
