file,doyle_the_adventures_of_sherlock_holmes,doyle_the_hound_of_the_baskervilles,fitzgerald_the_beautiful_and_the_damned,fitzgerald_this_side_of_paradise,lawrence_sons_and_lovers,lawrence_the_white_peacock,thoreau_a_week_on_the_concord,thoreau_walden_civil_disobedience
doyle_the_adventures_of_sherlock_holmes,0.0007789207918132739,,,,,,,
doyle_the_hound_of_the_baskervilles,0.9152587897182456,0.0009824612473619096,,,,,,
fitzgerald_the_beautiful_and_the_damned,0.9356298616021821,0.9452752803313466,0.0006667340135367209,,,,,
fitzgerald_this_side_of_paradise,0.9240310493943219,0.9279580515236721,0.9240408122032528,0.0007599361653621095,,,,
lawrence_sons_and_lovers,0.9444710593114297,0.9534231883021701,0.9355046297951449,0.9435951521218405,0.0006685495691966679,,,
lawrence_the_white_peacock,0.9331719316081729,0.9437348416640461,0.9298999898979695,0.934313518543249,0.9274319831253799,0.0006892600362723094,,
thoreau_a_week_on_the_concord,0.9590566054235569,0.9658207480345946,0.9575431861804222,0.9601846912630189,0.9665725215401666,0.9587693262052358,0.0007039605432301732,
thoreau_walden_civil_disobedience,0.9585667857430635,0.9476515240377364,0.9667683604404486,0.9574844943793952,0.9726037681884809,0.9670318308900501,0.953018285484421,0.000930006535181058
